"","StationCode","SampleID","SampleDate","H_ASCI","D_ASCI","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"247","SMC06918","SMC06918_2012-07-16 00:00:00_1",2012-07-16,0.493743594568411,0.496364281094759,-93.5,-0.08085,-0.1243,35,NA,NA,NA,64.0825,-7,61.08615,-0.0286,41.5,68,-0.0293,-0.035,-31
"248","SMC07126","SMC07126_2012-07-12 00:00:00_1",2012-07-12,0.397644323409105,0.512359078585249,-45,0,0.71,8.5,NA,NA,NA,150.565,-24,70.5662,-0.174,35,55.5,-0.23,-0.345,-71
"249","SMC08094","SMC08094_2012-06-28 00:00:00_1",2012-06-28,0.502734868939724,0.485605009640734,-55.5,-0.1405,-0.2484,28,NA,NA,NA,28.4295,-4.5,20.9455,-0.01595,-2,1,-0.1063,-0.1095,-77
"250","SMC08150","SMC08150_2014-07-08 00:00:00_1",2014-07-08,0.55098389930186,0.583129629619987,102,-1.01755,-122.3989,-181,1,-732.4539,-7,307.8542,-2,221.46075,-0.0082,90.5,20.5,-0.6495,0.2425,-20.5
"251","SMC08655","SMC08655_2012-06-21 00:00:00_1",2012-06-21,0.969963897245574,0.918338386362694,0,-0.0062,-0.0068,0,0,0.3476,0,0.18255,0,-0.04475,0,0,0,7e-04,-0.01045,0
"252","SMC08766","SMC08766_2018-07-10 00:00:00_1",2018-07-10,0.70249262477807,0.672204983155409,-63,-6.7046,-10.2871,-190,NA,NA,NA,1296.3388,-86,855.78085,-0.00585,0,53,-3.0071,-6.8273,-22
"253","SMC08845","SMC08845_2009-06-22 00:00:00_1",2009-06-22,0.913808342245201,0.819948990811984,-9,0,0.009,-5,NA,NA,NA,0,-20,0.0721,-0.0807,-1,-7,0.009,0.398,-11
"254","SMC09118","SMC09118_2013-05-22 00:00:00_1",2013-05-22,0.711917014022326,0.616523211779124,-55,-0.2159,-0.36195,28,NA,NA,NA,43.3867,-4,32.383,-0.0263,26,12,-0.1542,-0.092,-16
"255","SMC09286","SMC09286_2010-06-09 00:00:00_1",2010-06-09,0.973336315329798,1.04959020459639,-77,-1.64515,-4.55615,-222,NA,NA,NA,432.81425,-3,244.5816,-0.0275,76,63,-0.545,-0.6792,-27.5
"256","SMC09325","SMC09325_2012-06-21 00:00:00_2",2012-06-21,0.566260521024645,0.572557487506558,-6,0,0,1,NA,NA,NA,9.8779,1,2.678,0,73,5,0,0,-5
"257","SMC09503","SMC09503_2012-06-04 00:00:00_1",2012-06-04,1.04067465434001,1.11664193160113,0,-0.00095,-0.0014,0,NA,NA,NA,-0.00085,0,-0.0085,0,0,0,0.00855,0.00865,0
"258","SMC09534","SMC09534_2018-07-10 00:00:00_1",2018-07-10,0.79709061270497,0.73844181563886,72.5,-0.58125,-6.36695,48,NA,NA,NA,1735.32845,76,822.0335,-0.05565,106.5,63,-2.48805,-2.4061,-10
"259","SMC10685","SMC10685_2010-07-01 00:00:00_1",2010-07-01,0.658141218964268,0.6143521649554,-43,0,2.5744,39,NA,NA,NA,518.5117,-27,633.9959,-0.1776,-17.5,6.5,-0.2641,5.37195,-20
"260","SMC11343","SMC11343_2012-06-04 00:00:00_1",2012-06-04,0.836787308937861,0.855640858623241,-0.5,0.5532,0.6416,-4,-5,89.2908,0,11.66355,-3,26.1395,-0.0763,0,0,0.031,0.6879,-1
"261","SMC11727","SMC11727_2010-06-09 00:00:00_1",2010-06-09,0.864458881831144,0.855235814975349,0,-0.0122,-0.0151,0,0.5,1.4848,0,-0.0497,0,0.2032,0,0,0,0.0079,-0.0193,0
"262","SMC12862","SMC12862_06/27/11_1",2011-06-27,0.875023345,0.802261,-72.5,-4.8278,-9.5439,39.5,NA,NA,NA,684.9892,22,599.9777,-0.0222,0,39,-3.2879,-1.9115,-26
"263","SMC13062","SMC13062_2013-07-23 00:00:00_1",2013-07-23,1.03840515481069,1.02478655520402,-90,-0.1173,-0.1346,34,NA,NA,NA,71.3533,-1,71.8344,-0.0465,47,68,-0.029,-0.002,-21
"264","SMC13214","SMC13214_2013-05-22 00:00:00_1",2013-05-22,0.577535604252798,0.549518162117078,-73,0.3805,256.6344,43,NA,NA,NA,1637.1189,43,1756.964,0.0394,-1,4,0.4743,294.2134,-5
"265","SMC13599","SMC13599_2012-06-04 00:00:00_1",2012-06-04,0.946062745909268,1.06243147884221,0,-0.00065,-0.0016,0,NA,NA,NA,-0.00055,0,-0.0081,0,0,0,0.00785,0.0029,0
